Username,Review,Rating,Thumbsup,Date
AussieCritics,"Joker released on the 3rd of October, 2019 and grossed 4 million short of 100 million USD on it's opening weekend in the US. Overall, Joker grossed nearly 1.1 billion dollars worldwide. It stars Joaquin Pheonix as Arther Fleck and Robert DeJoker released on the 3rd of October, 2019 and grossed 4 million short of 100 million USD on it's opening weekend in the US. Overall, Joker grossed nearly 1.1 billion dollars worldwide. It stars Joaquin Pheonix as Arther Fleck and Robert De Niro as Murray Franklin. So, how was it?Joker is possibly the most enjoyment I have ever had from a comic book movie. It is a dark and gritty character study of a psychopath. There is not a moment of this movie where I feel happy. It is very consistent with it's tone and the atmosphere is so gritty. The constant sirens, the trash on the streets, the graffiti on the subway, all of it contributes to a hopeless feeling. Joaquin Pheonix gives the best acting performance of his career, which is saying a lot. His laugh is one of the best Joker laughs, only beaten by Heath Ledger. His improvisation is on point and always feels consistent. When he commits a crime, he always gives you the feeling that deep down, he enjoys it. The cinematography is so incredible and the dark colour palette looks like its ripped out of the 80's.Joker is a great movie, but like all great movies, it is flawed. Rupert Pupkin from The King Of Comedy(1983) is very clearly an influence on this movie. And by influence, I mean they ripped his character nearly completely off. An unreliable narrator that tries his best to become a comedian and become famous. He fails and this, among other things, leads to him commiting a terrible crime. The personalities are different, but the storylines are quite similar. Todd Philips and Scott Silver also take influence from Taxi Driver(1979), another Scorcese film. Joker has the same obsession with guns and commits the same crime. Just because it isn't original doesn't mean it's bad, but it does have another issue. Joker's atmosphere can be a bit repetitive. Taxi Driver had a similar atmosphere, but it mixed it up a bit with jazz music being played. Joker is always sad, always depressing.8/10… Expand",8,0,"Apr  2, 2020"
GEEKAM,"This review contains spoilers, click expand to view.
        
Excellent film avec un excellent acteur (Joaquin Phœnix). Avec aussi l'excellent Robert De Niro dans le rôle du mec qui se fait buter. Ce film montre un homme sombré dans une folie, et ce n'est même pas ennuyeux ! C'est un excellent film voir un chef-d'oeuvre.… Expand",10,0,"Apr  2, 2020"
AlohaSnackbar,"An amazing film from start to finish. A must watch, and very topical in this day and age.",10,0,"Apr  2, 2020"
ronnich,Iconic movie. Psychological drama where the best actor shows how Joker becomes Joker.,10,0,"Apr  3, 2020"
CoreGamer1408,"Maybe the decent into darkness themes are just not my thing? Comedy and happy endings seems to be my thing so it would seem. Came for DC not for the mental torture porn. A well acted and well crafted film, but for someone like myself it wasMaybe the decent into darkness themes are just not my thing? Comedy and happy endings seems to be my thing so it would seem. Came for DC not for the mental torture porn. A well acted and well crafted film, but for someone like myself it was painfully uncomfortable to watch. Interesting yes, but entertaining no. This Joker comes more off as a sad character. Than a master criminal who could take on the Bat.… Expand",7,0,"Apr  4, 2020"
Louw_Burger,Joker gives its infamous central character a chillingly plausible origin story that serves as a brilliant showcase for its star -- and a dark evolution for comics-inspired cinema.,8,0,"Apr  5, 2020"
Tony_Soruyo,"Phoenix is the movie, a masterpiece just because of his performance as the joker.",10,0,"Apr  6, 2022"
RafaCa66,"In my opinion, one of the BEST movies of 2019, everything about it is great, but nothing stands more the movie than Joaquin Phoenix's acting, it is amazing and honestly, it definitely deserved the Oscar. And the message that Arthur tells usIn my opinion, one of the BEST movies of 2019, everything about it is great, but nothing stands more the movie than Joaquin Phoenix's acting, it is amazing and honestly, it definitely deserved the Oscar. And the message that Arthur tells us is dark, but also it's so true about how some people and their thoughts and actions. A Masterpiece imo.… Expand",10,1,"Apr  7, 2021"
Frankdnb,"Amazing movie, beautifully acted and riveting. Not sure why critics don’t like this movie but this movie is amazing.",10,0,"Apr  8, 2020"
BuboTHEMIGHTY,"Amazing, completely and utterly brilliant, but, it can be uninteresting at times, the story is beautiful,and Arthur Fleck is amazing, I could praise Joaquin Pheonix for hours, but, I think it's best to keep this short, this movie is great,Amazing, completely and utterly brilliant, but, it can be uninteresting at times, the story is beautiful,and Arthur Fleck is amazing, I could praise Joaquin Pheonix for hours, but, I think it's best to keep this short, this movie is great, you should watch it.… Expand",8,0,"Apr  8, 2021"
Kinjuku,"A delightful frolic through the vast intricacies of the mind of a 'mentally ill loner, whom society abandoned and treated like trash'.",8,0,"Apr  9, 2020"
Jaredc324,"The marvel boyband fans are here to praise. But what we have is a movie about a victimized person who puts his shame out there for the world to laugh at, and we're suppose to stand with him. I don't think the approach to the character was allThe marvel boyband fans are here to praise. But what we have is a movie about a victimized person who puts his shame out there for the world to laugh at, and we're suppose to stand with him. I don't think the approach to the character was all that integral, but what holds up is Joaquin Phoenix's graceful performance. But i've seen better works from him in ""The Master"" and ""Walk the Line."" The aesthetic is pleasing nonetheless.… Expand",6,0,"Apr  9, 2022"
Adamadam,"See Joker doesn’t get enough praise. It’s dark but it knows what it wants to be. Here are the reasons why you must see and believe me when I say that all of us are in quarantine so we all have enough time! - The acting is incredible -See Joker doesn’t get enough praise. It’s dark but it knows what it wants to be. Here are the reasons why you must see and believe me when I say that all of us are in quarantine so we all have enough time! - The acting is incredible - Although it’s grim, it also hooks you in. I’ve never had a bad time watching Joker. For some reason, my dad whose a doctor is scared of watching this.... I was around 17 when I saw it and enjoyed it and my dads way older than me obviously.......... that’s weird to me. A doctor is afraid of a doctor-moving.  It seems like he’s trying to stall too soooo.… Expand",10,0,"Apr 10, 2020"
Hawk321,Not a good movie YET !Perhaps the movie will become good if I can watch all (potential) successors of it once.,2,1,"Apr 10, 2020"
Willywonka180,"While Joker has some great points. It fails overall. The depiction of mental health is phenomenal first of all, I have no faults with that part of the film. But the story is messy and I found myself confused way too much. Although I see whyWhile Joker has some great points. It fails overall. The depiction of mental health is phenomenal first of all, I have no faults with that part of the film. But the story is messy and I found myself confused way too much. Although I see why people like it I just couldn't bring myself to say it is good. It isn't awful though, and I agree with some of the Oscars it got nominated for. The acting cannot go unseen. The editing is great. But the story is just so messy man! But if you like drama/thrillers I guess you could enjoy it.… Expand",6,1,"Apr 10, 2021"
Joe2126,"This isn't a film, it is a work of artistic reality.Super hero films in recent years have been abysmal, leaving no sense of reality or relevance towards consumers unless you really ""just watch them for the action"", for instance infinity warThis isn't a film, it is a work of artistic reality.Super hero films in recent years have been abysmal, leaving no sense of reality or relevance towards consumers unless you really ""just watch them for the action"", for instance infinity war or endgame is just a waste of time and it's following is only because ""everyone likes it"". Now this isn't to relate to this film's protagonist or sound like an edge lord but these marvel films are a ""roller coaster ride"" as Martin Scorsese describes them. Often times I compare the uncharacteristic MCU to the amazing writing and philosophy of the Halo series, halo is far more relatable to a group of superheros jumping around in CGI fights forever. I'd rather look up to the Arbiter, a self-sufficient dinosaur than a group of wimps.This leads to my main point about Joker, it is relatable. It surely isn't 100% relatable, as of course what the joker does in this film is immoral and unethical in every way, cant just go about killing people the way he did in this film. But, it is very realistic, its sad, its pessimistic and it shines a light on the reality that some mentally ill patients probably experience on a day to day basis. It also captures the reality of wealthy capitalists causing divisions between the rich and the poor in America (only in America, NOT IN THE UK) and other countries like Brazil. For instance, the game Max Payne 3 captures this pessimism in a similar way except Max is a hero rather than the anti-hero that is the Joker. This division of rich and poor is clear when you have to pay for healthcare in America and the fact that they advertise all sorts of health products there and make falsified claims about it goes to show on this division. Then again this isn't to get political, I don't agree with the idea of sparking a revolution because killing people isn't a good thing but this is a film and entertainment is of course for escapism. Understanding the Joker's mind and what he goes through was what we escaped into with this film and because of how realistic it is and emotional at times, it makes this film a master piece.Apparently Scorsese films influenced this film and I can 100% agree with this since I love his films. This is far better than a bunch of cgi fights and unrelatable content. Watch this if you're looking for a real film… Expand",10,0,"Apr 11, 2020"
